Timestamp,Open,High,Low,Close,Volume_BTC,Volume_Currency,Weighted_Price
1382670000,191.39,192.29,185.21,185.51,757.94764839,143446.8766680505,189.256971735125
1382673600,185.21,190.01,181.81,181.81,1215.88777635,224497.8452420783,184.636978517872
1382677200,181.81,186.24,180.19,182.5,1400.30032377,256035.89688718,182.843560442705
1382680800,182.71,186.98,181.0,186.14,826.45045861,151714.8779713309,183.574074393399
1382684400,185.96,186.98,182.1,186.01,511.88745215,94784.0776229144,185.165854769067
1382688000,185.2,186.0,176.51,181.8,2655.3864121,481299.4259434873,181.254006479175
1382691600,181.8,181.8,175.32,180.0,1329.46479775,235118.249024403,176.851804893458
1382695200,180.0,183.43,179.0,182.3,880.0982331,158489.952172382,180.08211607712
1382698800,182.61,183.0,178.02,179.75,643.75057922,116166.1808581232,180.452157416116
1382702400,179.75,180.0,175.5,177.34,679.27127689,120099.2955555282,176.806085641358
1382706000,176.0,177.28,170.8,174.0,2990.60480881,519438.1237187421,173.68999146545
1382709600,174.37,174.99,170.0,170.0,2117.21541505,364212.3015408613,172.024206394823
1382713200,170.0,180.49,167.67,177.47,4740.23028642,827044.2324754645,174.473429032512
1382716800,180.0,180.0,170.8,171.57,1958.84655856,340644.8917999601,173.900753130137
1382720400,171.59,174.17,170.33,173.0,889.0133781,153326.795696279,172.468490883646
1382724000,173.0,181.0,172.41,178.51,927.19590731,162356.9943229313,175.105382846183
1382727600,178.51,187.3,178.01,183.88,2848.46343807,521761.2889688504,183.172893144935
1382731200,183.19,186.0,181.0,183.98,781.23073325,142577.7870672981,182.504068259271
1382734800,182.6,185.97,181.0,182.63,640.97099354,117482.4760719185,183.288288012969
1382738400,182.41,185.0,181.27,183.05,574.12794019,105594.6985655643,183.921894709773
1382742000,183.05,188.3,182.17,186.6,1574.36206216,292590.9516817917,185.847308388746
1382745600,187.5,190.0,184.06,185.51,902.33782503,169651.4497488478,188.013230791037
1382745600,187.5,190.0,184.06,185.51,902.33782503,169651.4497488478,188.013230791037
1382749200,185.52,186.94,183.38,184.0,271.62532376,50181.5980977991,184.745654061836
1382752800,183.9,183.9,177.0,179.03,938.53008282,169154.0027929374,180.232904506034
1382756400,178.93,180.27,177.0,179.79,189.30311656,33834.0330022236,178.729402965217
1382760000,179.78,181.36,177.87,181.36,149.99745618,27041.7848418098,180.281622972053
1382763600,181.36,183.16,179.11,183.0,607.80241048,110057.9709012894,181.075245842433
1382767200,182.84,183.23,180.51,181.52,272.91764805,49606.1028841638,181.762166128134
1382770800,181.52,184.55,180.76,184.55,474.40661955,86812.7064983583,182.992190498321
1382774400,184.1,186.0,183.37,184.99,776.62152702,143231.8386162954,184.429395314208
1382778000,184.14,185.1,183.0,184.03,299.50970922,55250.7407693174,184.470616706231
1382781600,184.03,184.94,184.0,184.78,185.32848899,34115.3944317365,184.08068083681
